"","area","use_of_elec","use_of_gas","average_hour","GHG","operation_type"
"168",2497,52820.629961,17855.076687,168,36031.935829967,"Fire Stations"
"169",5813,79939.040902,12765.912023,168,27448.8370470529,"Fire Stations"
"170",5845,76962.802584,16945.332955,168,35269.391664644,"Fire Stations"
"171",7664,91107.257329,17140.004979,168,36204.9863517165,"Fire Stations"
"172",8062,105953.441641,18466.194986,168,39318.1836185943,"Fire Stations"
"173",7126,41916.379894,13754.851658,168,27806.609341946,"Fire Stations"
"174",10592,32630.093569,25067.325945,168,48925.3521672171,"Fire Stations"
"175",12500,174736.803459,39351.403811,168,81744.9404440786,"Fire Stations"
"176",5586,118466.893315,21722.376168,168,46004.4565151879,"Fire Stations"
"177",2895,77064.73621,19383.157875,168,39904.5806319588,"Fire Stations"
"178",11001,103644.674679,27506.631089,168,56399.8590006224,"Fire Stations"
"179",7535,58264.754103,15277.388262,168,31352.8918715588,"Fire Stations"
"180",5005,128822.76875,11142.126516,168,26319.49707118,"Fire Stations"
"181",16501,203978.325333,50739.050885,168,104547.600589046,"Fire Stations"
"182",5048,53653.098494,13721.752752,168,28213.2004252069,"Fire Stations"
"183",4887,49169.427833,17568.653548,168,35341.7725719201,"Fire Stations"
"184",5737,55180.510687,13134.325806,168,27158.3678178801,"Fire Stations"
"185",11916,140598.767294,24787.177908,168,52711.9046918085,"Fire Stations"
"186",6910,56182.071191,15681.878111,168,32037.9898763256,"Fire Stations"
"187",7459,45281.699947,12462.290444,168,25485.7565314424,"Fire Stations"
"188",3767,58792.835817,11637.272581,168,24458.9237820799,"Fire Stations"
"189",9085,91962.359647,26191.235404,168,53433.7223705048,"Fire Stations"
"190",11808,51934.790813,28079.30241,168,55419.3616277729,"Fire Stations"
"191",10484,72581.926376,19114.944706,168,39215.7463635811,"Fire Stations"
"192",14241,150342.81058,45419.637742,168,92296.9440453,"Fire Stations"
"193",5350,73787.695067,13290.06199,168,28198.5056644631,"Fire Stations"
"194",11001,75686.495682,21473.06398,168,43819.6247394462,"Fire Stations"
"195",5350,50210.251127,13272.398697,168,27221.8531257839,"Fire Stations"
"196",8902,98802.428418,20573.841439,168,43036.0179799739,"Fire Stations"
"197",5500,43569.512219,11028.672928,168,22693.8401633523,"Fire Stations"
"198",5500,61287.565188,16142.529355,168,33117.3041979199,"Fire Stations"
"199",5350,45186.22094,17321.654494,168,34713.2226633069,"Fire Stations"
"200",5350,52777.30646,13830.249091,168,28384.2781540818,"Fire Stations"
"201",5608,52535.7632,11758.466328,168,24438.8714266383,"Fire Stations"
"202",12755,47248.648626,14600.884146,168,29627.0995483547,"Fire Stations"
"203",9806,108098.219054,25288.982206,168,52365.1553690761,"Fire Stations"
"204",12099,132247.561367,33073.497782,168,68119.2954561676,"Fire Stations"
"205",11937,50866.472308,24241.851517,168,48086.6618006497,"Fire Stations"
"206",7244,101059.021926,28855.71875,168,58859.2812292275,"Fire Stations"
"207",7535,105289.109242,26143.853545,168,53876.7815105811,"Fire Stations"
"208",7535,47289.372,15249.634115,168,30861.1523119244,"Fire Stations"
"209",10236,108988.179059,38942.397647,168,78338.0105483894,"Fire Stations"
"210",13153,57169.67686,20924.551354,168,42036.9480360803,"Fire Stations"
"211",10129,125354.586225,26531.655227,168,55416.1035671796,"Fire Stations"
"212",10979,81964.226846,24086.418823,168,49035.2980477049,"Fire Stations"
"213",24865,281311.085667,73381.615249,168,150654.764099053,"Fire Stations"
"214",12723,127109.48206,32438.761212,168,66707.9695692243,"Fire Stations"
"215",13003,346143.165258,19776.690568,168,51415.3079154439,"Fire Stations"
"216",4402,86053.891793,10310.150682,168,23028.2458208086,"Fire Stations"
"217",9268,77088.575684,26137.536452,168,52736.7596498599,"Fire Stations"
"218",3057,24192.21575,12072.284828,168,23901.2873949033,"Fire Stations"
"219",9827,52679.783062,22342.453636,168,44550.9270702528,"Fire Stations"
"220",11238,68891.717935,21717.8975,168,44012.941419175,"Fire Stations"
"221",12809,119253.66608,39648.185634,168,80089.4084102535,"Fire Stations"
"222",8762,79637.110852,13385.604812,168,28613.9840393883,"Fire Stations"
"223",7029,73903.308617,20764.266373,168,42401.8015308044,"Fire Stations"
"224",3929,30906.696651,6894.781912,168,14334.2161164473,"Fire Stations"
"225",7804,67311.056409,10315.868627,168,22289.3947283856,"Fire Stations"
"226",9461,104843.727832,24957.421849,168,51605.1138256068,"Fire Stations"
"227",7944,62149.107412,16548.806129,168,33923.56581168,"Fire Stations"
"228",12335,104212.370091,31114.590625,168,63276.5714680463,"Fire Stations"
"229",5866,38844.395424,8792.862232,168,18257.4882704681,"Fire Stations"
"230",7955,43547.229615,8860.411905,168,18573.9250764095,"Fire Stations"
"231",12486,159998.180521,31617.773978,168,66463.8962691068,"Fire Stations"
"232",3907,35928.118642,9789.145807,168,20033.4671437798,"Fire Stations"
"233",11765,103391.306952,27275.424898,168,55950.5042025616,"Fire Stations"
"234",5038,111407.992335,10515.79699,168,24433.0740773331,"Fire Stations"
"235",5188,27263.478019,10658.706816,168,21338.777872047,"Fire Stations"
"236",6889,75670.548235,12755.480389,168,27258.2804695794,"Fire Stations"
"237",19472,121927.455679,17102.180118,168,37365.9387755234,"Fire Stations"
"238",15479,201878.463981,19030.186967,168,44226.5944385802,"Fire Stations"
"239",3929,38236.187485,9175.147959,168,18959.3843256327,"Fire Stations"
"240",3929,33160.992337,7265.860446,168,15129.3221241417,"Fire Stations"
"241",11765,119162.557036,18144.180666,168,39234.8208508335,"Fire Stations"
"242",7998,73605.490331,14066.451613,168,29666.11707794,"Fire Stations"
"243",11485,233657.188259,25043.136242,168,56920.483017925,"Fire Stations"
"244",23002,158350.286337,26789.851928,168,57226.4252625823,"Fire Stations"
"245",42625,679969.609846,109679.893048,168,235556.580418195,"Fire Stations"
"246",26996,706581.185882,4663.351159,70,37122.1689985207,"Public Libraries"
"247",26102,510268.722885,7671.299927,70,34983.8406737226,"Public Libraries"
"248",32281,457471.513233,25064.911155,70,65914.4216013619,"Public Libraries"
"249",6318,91479.47049,7998.782909,70,18854.3867239982,"Public Libraries"
"250",7804,169948.244585,7814.298388,70,21642.6742880997,"Public Libraries"
"251",44319,885688.130271,32255.929004,70,96703.7909804488,"Public Libraries"
"252",6340,132774.647549,0,70,5310.98590196,"Public Libraries"
"253",7804,113923.956437,10548.916136,70,24596.6287518778,"Public Libraries"
"254",8503,103642.035817,9596.867879,70,22376.7553737375,"Public Libraries"
"255",7093,74422.220663,1742.793103,70,6287.65545635807,"Public Libraries"
"256",20627,349665.351258,37936.219995,70,86053.6718126216,"Public Libraries"
"257",13616,254907.731032,18232.274791,70,44831.9793389948,"Public Libraries"
"258",7933,97349.550253,9152.20625,70,21280.3367011825,"Public Libraries"
"259",31506,500942.968194,25772.117576,70,68996.7527657114,"Public Libraries"
"260",6867,113502.399065,7190.115404,70,18199.0862944248,"Public Libraries"
"261",4898,60860.538011,7852.063889,70,17350.9087697344,"Public Libraries"
"262",7685,77421.411763,8784.438601,70,19784.5666364537,"Public Libraries"
"263",9612,106006.322594,9829.566667,70,22913.3824053932,"Public Libraries"
"264",3606,81104.791063,0,100,3244.19164252,"Public Libraries"
"265",6501,150839.566003,0,70,6033.58264012,"Public Libraries"
"266",16576,356160.543212,27183.790413,70,65887.196538152,"Public Libraries"
"267",21560,359803.380263,21633.964895,70,55489.9619819026,"Public Libraries"
"268",20021,183954.0288,17328.564645,70,40277.06212246,"Public Libraries"
"269",11208,108205.928751,17816.588709,70,38174.2325546402,"Public Libraries"
"270",60040,597942.59329,70508.799165,70,157862.564417359,"Public Libraries"
"271",12217,165504.308218,16160.356243,70,37319.8394799847,"Public Libraries"
"272",4715,16634.326455,0,70,665.3730582,"Public Libraries"
"273",3595,58804.638217,2256.392727,70,6638.63222823463,"Public Libraries"
"274",6200,80490.468504,13247.891031,70,28386.5048528404,"Public Libraries"
"275",64670,1359297.504,56696.664217,70,162077.986206393,"Public Libraries"
"276",13000,283946.081161,0,70,11357.84324644,"Public Libraries"
"277",6501,59796.012643,6422.258334,70,14592.1404402365,"Public Libraries"
"278",7998,306848.835932,32651.386333,70,74301.4655402168,"Public Libraries"
"279",3014,32214.041427,2151.75,70,5376.21961458,"Public Libraries"
"280",9494,161982.201126,17193.642043,70,39141.8778977067,"Public Libraries"
"281",6997,108307.284555,9977.376459,70,23286.2136675977,"Public Libraries"
"282",7470,128535.080864,19272.599259,70,41753.3673208897,"Public Libraries"
"283",2400,44271.915571,3092.556383,70,7645.77505806127,"Public Libraries"
"284",9042,113674.60975,7251.17335,70,18321.9658912615,"Public Libraries"
"285",11603,154552.694503,14783.104839,70,34265.4242117199,"Public Libraries"
"286",6997,152055.342487,7383.774279,70,20109.0958595535,"Public Libraries"
"287",3638,55839.723646,12680.018824,70,26321.6939056046,"Public Libraries"
"288",7653,99440.133958,33.695,70,4041.61541287,"Public Libraries"
"289",11991,172499.672636,20801.467552,70,46416.3267992989,"Public Libraries"
"290",38933,1013854.830775,121360.179451,70,271100.91253227,"Public Libraries"
"291",11647,183567.398709,62938.446677,70,126906.23371619,"Public Libraries"
"292",6415,70256.846607,9062.411692,70,20026.0467314555,"Public Libraries"
